order_id,customer_name,email,product,category,quantity,unit_price,total_price,order_date,ship_date,region,payment_method
ORD-1193,Tarek Johnson,tarek.johnson381@hotmail.com,Phone Case,Accessories,2.0,16.23,32.46,2024-07-24,2024-07-30,West,Bank Transfer
ORD-1016,Mia Mohamed,mia.mohamed892@outlook.com,Ergonomic Chair,Furniture,9.0,306.53,1321.8,2024-02-29,2024-03-06,South,Credit Card
ORD-1148,Dina Mohamed,dina.mohamed291@company.co,Webcam HD,Electronics,8.0,60.31,482.48,2024-04-29,2024-04-30,South,Cash on Delivery
ORD-1177,Robert Ahmed,robert.ahmed778@hotmail.com,Screen Protector,Accessories,8.0,10.22,81.76,2024-12-17,2024-12-19,North,Bank Transfer
ORD-1045,Olivia Farouk,olivia.farouk229@gmail.com,Portable Charger,Electronics,4.0,29.38,117.52,2024-04-18,2024-05-02,North,Bank Transfer
ORD-1154,Ava Khalil,ava.khalil764@outlook.com,Desk Lamp,Office,4.0,21.75,87.0,2024-03-06,2024-03-08,Central,Credit Card
ORD-1092,Salma Garcia,salma.garcia449@gmail.com,Ergonomic Chair,Furniture,10.0,272.38,1321.8,2024-06-16,2024-06-28,East,Bank Transfer
ORD-1063,Nour Mansour,nour.mansour447@hotmail.com,Notebook Pack (5),Office,1.0,12.7,12.7,2024-09-16,2024-09-27,West,PayPal
ORD-1189,Fatima Ali,fatima.ali336@outlook.com,Webcam HD,Electronics,5.0,59.34,296.7,2024-10-05,2024-10-12,South,Cash on Delivery
ORD-1173,John Garcia,john.garcia896@outlook.com,Wireless Mouse,Electronics,9.0,28.25,254.25,2024-10-03,2024-10-17,central,Credit Card
ORD-1195,James Mansour,james.mansour721@hotmail.com,Laptop Stand,Accessories,4.0,37.16,153.88,2024-04-20,2024-05-02,West,PayPal
ORD-1139,Emma Mansour,emma.mansour384@yahoo.com,Webcam HD,Electronics,8.0,54.8,438.4,2024-11-19,2024-11-21,North,Cash on Delivery
ORD-1159,Omar Ali,amir.ali318@hotmail.com,Webcam HD,Electronics,8.0,54.44,435.52,2024-05-23,2024-06-06,East,Credit Card
ORD-1168,Nour Ahmed,nour.ahmed159@gmail.com,"27"" Monitor",Electronics,5.0,374.1,1321.8,2024-02-09,2024-02-18, central ,Credit Card
ORD-1158,John Smith,fatima.mohamed675@hotmail.com,Portable Charger,Electronics,8933.0,29.8,1321.8,2024-09-02,2024-09-07,East,Credit Card
ORD-1125,Mohamed Jones,mohamed.jones932@outlook.com,Phone Case,Accessories,7.0,14.76,103.32,2024-01-18,2024-01-19,East,Cash on Delivery
ORD-1119,James Ahmed,james.ahmed644@gmail.com,Phone Case,Accessories,1.0,37.16,15.38,2024-06-20,2024-06-21,Central,Bank Transfer
ORD-1105,Hassan Nasser,hassan.nasser715@yahoo.com,Cable Organizer,Accessories,10.0,8.29,82.9,2024-11-28,2024-12-11,West,Credit Card
ORD-1138,Tarek Farouk,tarek.farouk424@outlook.com,Desk Lamp,Office,8.0,22.04,176.32,2024-10-10,2024-10-12,East,Cash on Delivery
ORD-1034,James Ali,james.ali10@hotmail.com,Cable Organizer,Accessories,6.0,9.34,93.4,2024-02-08,2024-02-10,Central,PayPal
ORD-1083,Omar Garcia,omar.garcia106@gmail.com,Screen Protector,Accessories,10.0,9.56,95.6,2024-07-04,2024-07-12,East,PayPal
ORD-1046,John Miller,john.miller410@company.co,Webcam HD,Electronics,6.0,65.26,391.56,2024-02-14,2024-02-19,South,Bank Transfer
ORD-1070,Emma Williams,emma.williams407@yahoo.com,Standing Desk,Furniture,2.0,560.12,1120.24,2024-11-18,2024-11-29,South,Credit Card
ORD-1149,Sara Ibrahim,sara.ibrahim210@outlook.com,Standing Desk,Furniture,4.0,579.4,1321.8,2024-10-23,2024-10-28,East,Bank Transfer
ORD-1069,Yasmin Taylor,yasmin.taylor987@gmail.com,Mechanical Keyboard,Electronics,3.0,98.35,295.05,2024-02-11,2024-02-21,North,Bank Transfer
ORD-1161,Olivia Wilson,olivia.wilson668@yahoo.com,Cable Organizer,Accessories,6.0,8.67,52.02,2024-07-13,2024-07-16,North,Cash on Delivery
ORD-1023,Reem Nasser,reem.nasser553@yahoo.com,Phone Case,Accessories,10.0,16.23,162.3,2024-04-04,2024-04-17,West,Cash on Delivery
ORD-1049,Mohamed Smith,mohamed.smith639@outlook.com,Desk Lamp,Office,2.0,23.49,46.98,2024-04-26,2024-05-05,East,Cash on Delivery
ORD-1134,Mona Miller,mona.miller608@gmail.com,Bluetooth Speaker,Electronics,8.0,40.02,320.16,2024-08-26,2024-08-27,Central,Bank Transfer
ORD-1062,Mona Khalil,mona.khalil772@hotmail.com,Wireless Mouse,Electronics,7.0,26.19,183.33,2024-10-12,2024-08-27,Central,PayPal
ORD-1140,Sophie Johnson,sophie.johnson832@yahoo.com,USB-C Hub,Electronics,9.0,45.59,410.31,2024-08-06,2024-08-15,East,Credit Card
ORD-1153,David Johnson,david.johnson91@hotmail.com,Portable Charger,Electronics,2.0,28.45,56.9,2024-08-16,2024-08-23,CENTRAL,Credit Card
ORD-1185,Youssef Hassan,youssef.hassan811@yahoo.com,Laptop Stand,Accessories,1.0,33.71,33.71,2024-04-30,2024-05-09,West,Cash on Delivery
ORD-1111,Omar Ali,mohamed.brown101@gmail.com,Screen Protector,Accessories,8.0,9.32,74.56,2024-04-26,2024-04-27,North,Bank Transfer
ORD-1067,Nour Ali,nour.ali800@gmail.com,Webcam HD,Electronics,1.0,65.38,65.38,2024-03-18,2024-04-01,North,PayPal
ORD-1018,Nour Wilson,nour.wilson970@gmail.com,Wireless Mouse,Electronics,2.0,27.2,54.4,2024-11-12,2024-11-14,Central,PayPal
ORD-1091,Sophie Wilson,sophie.wilson944@outlook.com,Standing Desk,Furniture,8.0,508.67,1321.8,2024-11-12,2024-09-29,West,Bank Transfer
ORD-1008,Mona Nasser,fatima.mohamed675@hotmail.com,Webcam HD,Electronics,2.0,61.3,122.6,2024-03-07,2024-03-16,South,PayPal
ORD-1174,Mohamed Salem,mohamed.salem280@hotmail.com,Laptop Stand,Accessories,9.0,32.53,292.77,2024-06-18,2024-06-20,South,Cash on Delivery
ORD-1186,Sara Nasser,sara.nasser293@outlook.com,Laptop Stand,Accessories,1.0,37.56,37.56,2024-05-08,2024-05-13,North,Bank Transfer
ORD-1061,Youssef Brown,youssef.brown399@company.co,Wireless Mouse,Electronics,1.0,27.84,27.84,2024-10-24,2024-11-03,West,Cash on Delivery
ORD-1147,Mohamed Mansour,mohamed.mansour454@hotmail.com,Phone Case,Accessories,8.0,16.33,130.64,2024-06-09,2024-06-14,South,Credit Card
ORD-1100,Salma Ibrahim,salma.ibrahim566@hotmail.com,Laptop Stand,Accessories,2.0,33.07,66.14,2024-11-22,2024-11-24,West,Credit Card
ORD-1065,Dina Ahmed,dina.ahmed888@hotmail.com,Phone Case,Accessories,3.0,14.55,43.65,2024-05-27,2024-06-02,South,Cash on Delivery
ORD-1113,Layla Ali,layla.ali625@hotmail.com,Mechanical Keyboard,Electronics,10.0,93.29,932.9,2024-07-12,2024-07-22,South,PayPal
ORD-1027,Salma Ibrahim,salma.ibrahim993@gmail.com,Phone Case,Accessories,4.0,14.92,59.68,2024-07-07,2024-07-15,South,Cash on Delivery
ORD-1089,David Khalil,david.khalil720@hotmail.com,Laptop Stand,Accessories,6.0,36.31,192.64,2024-12-24,2024-12-29,Central,PayPal
ORD-1053,Robert Farouk,robert.farouk689@outlook.com,USB-C Hub,Electronics,4.0,53.06,212.24,2024-02-27,2024-02-28,North,PayPal
ORD-1020,Salma Nasser,salma.nasser731@outlook.com,Cable Organizer,Accessories,7.0,9.33,65.31,2024-09-09,2024-09-15,West,Cash on Delivery
ORD-1054,Yasmin Ali,yasmin.ali467@hotmail.com,Notebook Pack (5),Office,10.0,12.2,122.0,2024-09-27,2024-10-04,West,Cash on Delivery
ORD-1041,Omar Hassan,omar.hassan316@outlook.com,Desk Lamp,Electronics,1.0,24.3,24.3,2024-03-22,2024-04-02,South,Credit Card
ORD-1057,William Jones,william.jones628@company.co,Bluetooth Speaker,Electronics,7.0,42.63,298.41,2024-07-31,2024-08-08,South,Cash on Delivery
ORD-1003,John Davis,john.davis430@yahoo.com,Screen Protector,Accessories,8.0,10.17,81.36,2024-11-10,2024-11-24,North,PayPal
ORD-1179,Sara Farouk,sara.farouk430@company.co,USB-C Hub,Electronics,8.0,45.62,364.96,2024-11-20,2024-11-28,Central,Credit Card
ORD-1015,Hana Brown,hana.brown162@hotmail.com,USB-C Hub,Electronics,1.0,54.53,54.53,2024-12-06,2024-12-18,East,PayPal
ORD-1090,Fatima Davis,fatima.davis231@yahoo.com,Desk Lamp,Office,5.0,23.97,119.85,2024-01-28,2024-01-29,South,Bank Transfer
ORD-1135,John Ibrahim,john.ibrahim63@hotmail.com,Notebook Pack (5),Office,7.0,12.8,89.6,2024-02-11,2024-02-19,West,Credit Card
ORD-1191,John Williams,john.williams373@company.co,Phone Case,Accessories,3.0,17.44,52.32,2024-02-25,2024-03-10,Central,Cash on Delivery
ORD-1192,Omar Ali,omar.ali242@outlook.com,Wireless Mouse,Electronics,6.0,25.38,152.28,2024-08-08,2024-08-09,Central,PayPal
ORD-1032,Yasmin Hassan,yasmin.hassan635@gmail.com,Standing Desk,Furniture,6.0,567.3,1321.8,2024-08-07,2024-08-16,East,Bank Transfer
ORD-1088,Mohamed Salem,mohamed.salem3@hotmail.com,Ergonomic Chair,Furniture,6.0,311.35,1321.8,2024-07-01,2024-07-06,North,PayPal
ORD-1106,Sophie Garcia,sophie.garcia723@hotmail.com,Webcam HD,Electronics,7.0,65.85,460.95,2024-11-03,2024-11-17,South,Cash on Delivery
ORD-1038,John Mansour,john.mansour518@hotmail.com,Phone Case,Accessories,5.0,17.29,86.45,2024-11-24,2024-11-25,North,Cash on Delivery
ORD-1098,Amir Johnson,amir.johnson638@hotmail.com,"27"" Monitor",Electronics,8.0,368.19,1321.8,2024-03-20,2024-03-25,Central,PayPal
ORD-1044,Olivia Mohamed,olivia.mohamed392@gmail.com,Mechanical Keyboard,Electronics,8.0,84.99,679.92,2024-11-13,2024-11-21,South,Bank Transfer
ORD-1123,Olivia Williams,olivia.williams15@outlook.com,USB-C Hub,Electronics,9.0,46.23,416.07,2024-05-23,2024-06-03,East,Cash on Delivery
ORD-1197,Mohamed Davis,mohamed.davis556@outlook.com,Screen Protector,Accessories,6.0,10.69,53.45,2024-10-03,2024-10-15,South,Bank Transfer
ORD-1059,Hana Farouk,hana.farouk279@outlook.com,Screen Protector,Accessories,6.0,10.78,64.68,2024-02-01,2024-02-04,South,PayPal
ORD-1183,Sophie Mohamed,sophie.mohamed791@company.co,"27"" Monitor",Electronics,6.0,324.33,1321.8,2024-05-16,2024-05-25,East,PayPal
ORD-1007,Ava Farouk,ava.farouk888@gmail.com,USB-C Hub,Electronics,7.0,47.77,334.39,2024-09-03,2024-09-17,East,PayPal
ORD-1079,Salma Miller,salma.miller353@hotmail.com,Notebook Pack (5),Office,9.0,12.55,112.95,2024-09-29,2024-10-07,East,Bank Transfer
ORD-1107,Omar Miller,omar.miller989@company.co,Wireless Mouse,Electronics,6.0,27.91,167.46,2024-12-05,2024-12-19,West,Credit Card
ORD-1029,David Davis,david.davis678@hotmail.com,Desk Lamp,Office,3.0,21.1,63.3,2024-03-25,2024-03-26,Central,Credit Card
ORD-1085,Olivia Wilson,olivia.wilson972@outlook.com,Mechanical Keyboard,Electronics,2.0,98.88,197.76,2024-02-16,2024-02-25,West,PayPal
ORD-1095,Reem Johnson,reem.johnson419@outlook.com,USB-C Hub,Electronics,6.0,37.16,310.14,2024-11-29,2024-12-02,East,Cash on Delivery
ORD-1005,Mona Johnson,mona.johnson619@outlook.com,USB-C Hub,Electronics,1.0,52.29,52.29,2024-07-27,2024-07-29,West,Credit Card
ORD-1162,Olivia Smith,olivia.smith732@gmail.com,USB-C Hub,Electronics,9.0,51.45,463.05,2024-01-16,2024-01-20,West,Cash on Delivery
ORD-1151,Khaled Hassan,khaled.hassan447@gmail.com,USB-C Hub,Electronics,8.0,54.2,433.6,2024-11-30,2024-12-06,Central,Cash on Delivery
ORD-1145,Omar Ali,omar.ibrahim94@company.co,USB-C Hub,Electronics,4.0,48.75,195.0,2024-06-25,2024-07-01,South,Bank Transfer
ORD-1126,Fatima Farouk,fatima.farouk909@company.co,USB-C Hub,Electronics,3.0,48.88,146.64,2024-05-24,2024-06-04,Central,Cash on Delivery
ORD-1137,Yasmin Miller,yasmin.miller302@hotmail.com,Desk Lamp,Office,9.0,22.97,206.73,2024-02-08,2024-02-21,North,PayPal
ORD-1170,Tarek Hassan,tarek.hassan421@outlook.com,Screen Protector,Accessories,4.0,10.93,43.72,2024-08-25,2024-08-30,West,PayPal
ORD-1188,Olivia Miller,olivia.miller274@gmail.com,Cable Organizer,Accessories,6.0,7.78,54.46,2024-08-21,2024-09-04,South,Bank Transfer
ORD-1176,Ahmed Smith,ahmed.smith954@gmail.com,"27"" Monitor",Electronics,6.0,370.39,1321.8,2024-02-23,2024-02-24,East,Bank Transfer
ORD-1077,Nour Brown,nour.brown501@company.co,USB-C Hub,Electronics,4.0,51.9,207.6,2024-09-07,2024-09-19,West,Cash on Delivery
ORD-1178,Robert Ahmed,robert.ahmed562@company.co,"27"" Monitor",Electronics,9.0,344.62,1321.8,2024-10-28,2024-11-02,South,Bank Transfer
ORD-1042,James Davis,james.davis906@hotmail.com,Webcam HD,Electronics,10.0,62.98,629.8,2024-12-25,2024-12-29,South,PayPal
ORD-1082,Mona Salem,mona.salem310@gmail.com,"27"" Monitor",Electronics,9.0,323.85,1321.8,2024-01-18,2024-01-19,Central,Bank Transfer
ORD-1084,Ali Garcia,ali.garcia117@gmail.com,Wireless Mouse,Electronics,7.0,25.95,181.65,2024-08-12,2024-08-23,North,PayPal
ORD-1164,John Smith,john.smith68@outlook.com,Bluetooth Speaker,Electronics,2.0,40.45,80.9,2024-05-30,2024-06-04,East,PayPal
ORD-1132,Layla Mohamed,layla.mohamed677@gmail.com,Bluetooth Speaker,Electronics,3.0,37.16,108.33,2024-11-02,2024-11-15,South,Bank Transfer
ORD-1156,Omar Mansour,omar.mansour203@yahoo.com,USB-C Hub,Electronics,10.0,46.52,465.2,2024-10-21,2024-11-01,North,PayPal
ORD-1039,Ali Hassan,ali.hassan4@outlook.com,Portable Charger,Electronics,3.0,30.81,92.43,2024-04-11,2024-04-14,West,Cash on Delivery
ORD-1117,Emma Williams,emma.williams282@gmail.com,Portable Charger,Electronics,10.0,32.18,321.8,2024-10-29,2024-11-10,North,Cash on Delivery
ORD-1133,Layla Mansour,layla.mansour54@yahoo.com,Wireless Mouse,Electronics,7.0,26.13,182.91,2024-10-16,2024-10-18,West,Cash on Delivery
ORD-1122,Fatima Jones,fatima.jones987@gmail.com,Bluetooth Speaker,Electronics,3.0,42.02,126.06,2024-03-28,2024-04-11,West,Bank Transfer
ORD-1086,Amir Williams,amir.williams462@hotmail.com,Bluetooth Speaker,Electronics,5.0,42.87,214.35,2024-06-15,2024-06-20,Central,Credit Card
ORD-1036,Salma Khalil,salma.khalil627@company.co,Portable Charger,Electronics,1.0,31.0,31.0,2024-08-03,2024-08-08,North,PayPal
ORD-1010,Sara Smith,sara.smith411@outlook.com,Portable Charger,Electronics,2.0,28.26,56.52,2024-08-08,2024-08-20,East,PayPal
ORD-1199,Olivia Davis,olivia.davis133@company.co,Notebook Pack (5),Office,2.0,11.86,23.72,2024-06-03,2024-06-15,West,Cash on Delivery
ORD-1011,Reem Williams,reem.williams906@hotmail.com,Phone Case,Accessories,3.0,15.24,45.72,2024-04-05,2024-04-17,Central,Bank Transfer
ORD-1129,Khaled Mansour,khaled.mansour195@gmail.com,Wireless Mouse,Electronics,6.0,23.87,190.96,2024-03-23,2024-04-03,Central,Credit Card
ORD-1198,Nour Mohamed,nour.mohamed206@yahoo.com,Ergonomic Chair,Furniture,4.0,317.41,1269.64,2024-01-11,2024-01-17,Central,Bank Transfer
ORD-1131,Youssef Farouk,youssef.farouk337@yahoo.com,Standing Desk,Furniture,10.0,495.3,1321.8,2024-11-29,2024-12-02,South,Bank Transfer
ORD-1155,Amir Nasser,amir.nasser928@outlook.com,Ergonomic Chair,Furniture,6.0,313.63,1321.8,2024-11-14,2024-11-25,South,PayPal
ORD-1051,Salma Ibrahim,salma.ibrahim312@outlook.com,Desk Lamp,Office,4.0,22.18,192.64,2024-08-13,2024-08-23,East,Cash on Delivery
ORD-1037,Fatima Mohamed,fatima.mohamed761@company.co,Laptop Stand,Accessories,3.0,44722.38,1321.8,2024-08-22,2024-08-26,East,PayPal
ORD-1200,Dina Wilson,dina.wilson76@yahoo.com,Bluetooth Speaker,Electronics,6.0,41.13,246.78,2024-06-23,2024-07-01,Central,Bank Transfer
ORD-1143,Dina Davis,dina.davis998@company.co,Bluetooth Speaker,Electronics,10.0,41.39,413.9,2024-08-04,2024-08-05,Central,Bank Transfer
ORD-1087,Sophie Mohamed,sophie.mohamed971@yahoo.com,Standing Desk,Furniture,4.0,524.1,1321.8,2024-02-01,2024-02-04,South,PayPal
ORD-1096,Reem Khalil,reem.khalil679@hotmail.com,Screen Protector,Accessories,9.0,9.06,81.54,2024-02-04,2024-02-10,East,Bank Transfer
ORD-1101,Robert Ahmed,robert.ahmed511@outlook.com,Phone Case,Accessories,9.0,16.65,149.85,2024-02-04,2024-06-24,West,Cash on Delivery
ORD-1025,Khaled Smith,khaled.smith820@gmail.com,Wireless Mouse,Electronics,4.0,82279.58,1321.8,2024-07-27,2024-08-04,South,Cash on Delivery
ORD-1033,Emma Smith,emma.smith245@outlook.com,"27"" Monitor",Electronics,6.0,324.15,192.64,2024-09-07,2024-09-12,West,Bank Transfer
ORD-1031,Mohamed Salem,mohamed.salem71@company.co,Ergonomic Chair,Furniture,2.0,310.5,621.0,2024-04-01,2024-04-08,North,PayPal
ORD-1157,John Garcia,john.garcia476@company.co,Bluetooth Speaker,Electronics,10.0,39.58,395.8,2024-12-24,2025-01-03,Central,Bank Transfer
